ESTIMATED ANGLES	ACTUAL ANGLES	BARREL ID
-2.910806 		12.77983		Barrel
60.9454 		109.8853		Barrel


---------------------------------------------------------------------
---------------------------------------------------------------------


BARREL ID	LOCATION (IN WORLD COORDS)
0 	(171.4, 0.0, 218.9)
1 	(187.6, 0.0, 148.0)
2 	(46.9, 0.0, 83.5)
3 	(309.2, 0.0, 93.8)
4 	(260.6, 0.0, 202.2)
5 	(261.9, 0.0, 185.1)
6 	(207.5, 0.0, 401.5)
7 	(17.2, 0.0, 475.4)
8 	(114.3, 0.0, 281.6)
9 	(292.4, 0.0, 264.4)
10 	(454.3, 0.0, 292.9)
11 	(375.7, 0.0, 427.8)
