ESTIMATED ANGLES	ACTUAL ANGLES	BARREL ID
-4.267923 		72.26521		Barrel
34.31509 		61.29315		Barrel
26.22197 		47.71786		Barrel
157.4428 		93.82652		Barrel


---------------------------------------------------------------------
---------------------------------------------------------------------


BARREL ID	LOCATION (IN WORLD COORDS)
0 	(39.2, 0.0, 62.0)
1 	(141.6, 0.0, 102.0)
2 	(149.2, 0.0, 86.5)
3 	(398.9, 0.0, 86.1)
4 	(473.5, 0.0, 80.8)
5 	(257.8, 0.0, 220.4)
6 	(176.7, 0.0, 270.6)
7 	(185.0, 0.0, 386.8)
8 	(94.4, 0.0, 318.7)
9 	(350.8, 0.0, 411.6)
10 	(346.2, 0.0, 392.8)
11 	(281.8, 0.0, 418.3)
